acc	country
KX062045.1	Haiti
KX062044.1	Haiti
MH252920.1	Brazil
MH252919.1	Brazil
MH252918.1	Brazil
MH252915.1	Brazil
MH252914.1	Brazil
MH249067.1	Brazil
MH249066.1	Brazil
MH249065.1	Brazil
MH249064.1	Brazil
MH249063.1	Brazil
MH249062.1	Brazil
MF926508.1	Nigeria
MH130044.1	Malaysia
MH130043.1	Malaysia
MH130042.1	Malaysia
MG287146.1	India
KX906956.1	Malaysia
KX906955.1	Malaysia
KX906954.1	Malaysia
KX906953.1	Malaysia
KY042045.1	Viet Nam
KY042044.1	Puerto Rico
KY042043.1	Guatemala
KY042042.1	Philippines
KY042041.1	Philippines
KY042040.1	Philippines
KY042039.1	Brazil
KY561345.1	Brazil
KY561344.1	Brazil
KY561343.1	Brazil
KX173844.1	Brazil
KX173843.1	Brazil
KX173842.1	Brazil
KX173841.1	Brazil
KX173840.1	Brazil
KU985088.1	Mexico
KR816336.1	Brazil
KR816335.1	Brazil
KR816334.1	Brazil
KR816333.1	Brazil
KR815990.1	Brazil
KR815989.1	Brazil
KF383046.1	Cote d'Ivoire
KF383045.1	Cote d'Ivoire
KF383044.1	Cote d'Ivoire
KF383043.1	Cote d'Ivoire
KF383042.1	Cote d'Ivoire
KF383041.1	Cote d'Ivoire
KF383040.1	Cote d'Ivoire
KF383039.1	Senegal
KF383038.1	Cote d'Ivoire
KF383037.1	Cote d'Ivoire
KF383036.1	Cote d'Ivoire
KF383035.1	Uganda
KF383034.1	Senegal
KF383033.1	Senegal
KF383032.1	Senegal
KF383031.1	Senegal
KF383030.1	Burkina Faso
KF383029.1	Senegal
KF383028.1	Senegal
KF383027.1	Senegal
KF383026.1	Senegal
KF383025.1	Senegal
KF383024.1	Senegal
KF383023.1	Senegal
KF383022.1	Senegal
KF383021.1	Senegal
KF383020.1	Cote d'Ivoire
KF383019.1	Senegal
KF383018.1	Senegal
KF383017.1	Senegal
KF383016.1	Senegal
KF383015.1	Senegal
KT381874.1	Brazil
AF372422.1	not_defined
MT309008.1	Mexico
MT309007.1	Mexico
MT309006.1	Mexico
MT309005.1	Mexico
MT309004.1	Mexico
MT671184.1	Mexico
MT671183.1	Mexico
MN527290.1	Thailand
MH027651.1	Brazil
LC322992.1	Malaysia
LC229347.1	Malaysia
MH306204.1	Brazil
MH306203.1	Brazil
MH306202.1	Brazil
MH306201.1	Brazil
MH306200.1	Brazil
LY712921.1	not_defined
LY712920.1	not_defined
LY712919.1	not_defined
LY712918.1	not_defined
OURCASE	Brazil
